DateTime;NAV officielle
10/08/2016;14,9341
11/08/2016;15,0409
12/08/2016;15,0290
15/08/2016;15,0245
16/08/2016;14,8770
17/08/2016;14,8774
18/08/2016;14,8687
19/08/2016;14,7895
22/08/2016;14,8063
23/08/2016;14,8695
24/08/2016;14,8788
25/08/2016;14,8420
26/08/2016;14,8218
29/08/2016;14,9718
30/08/2016;14,8961
31/08/2016;14,8827
01/09/2016;14,7717
02/09/2016;15,0105
05/09/2016;15,0928
06/09/2016;15,0629
07/09/2016;15,0623
08/09/2016;14,9912
09/09/2016;14,5837
12/09/2016;14,6609
13/09/2016;14,4998
19/09/2016;14,7613
20/09/2016;14,7689
21/09/2016;14,9554
22/09/2016;15,0976
23/09/2016;14,9760
26/09/2016;14,8575
27/09/2016;15,0272
28/09/2016;15,1324
29/09/2016;15,0272
30/09/2016;15,0476
03/10/2016;15,0149
04/10/2016;14,9535
05/10/2016;14,7818
06/10/2016;14,7581
07/10/2016;14,4955
10/10/2016;14,5132
11/10/2016;14,4996
12/10/2016;14,5469
13/10/2016;14,5210
14/10/2016;14,5646
17/10/2016;14,5521
18/10/2016;14,6966
19/10/2016;14,6970
20/10/2016;14,6993
21/10/2016;14,7228
24/10/2016;14,7370
25/10/2016;14,5423
26/10/2016;14,4605
27/10/2016;14,4070
28/10/2016;14,4023
31/10/2016;14,4407
01/11/2016;14,1951
02/11/2016;13,9471
03/11/2016;13,8966
04/11/2016;13,8127
07/11/2016;14,0461
08/11/2016;14,1424
09/11/2016;14,3076
10/11/2016;14,4274
11/11/2016;14,4300
14/11/2016;14,4464
15/11/2016;14,4864
16/11/2016;14,5519
17/11/2016;14,6542
18/11/2016;14,7244
21/11/2016;14,7639
22/11/2016;14,8758
23/11/2016;14,8661
24/11/2016;14,8167
25/11/2016;14,8332
28/11/2016;14,8043
29/11/2016;14,7081
30/11/2016;14,5826
01/12/2016;14,5296
02/12/2016;14,4915
05/12/2016;14,4391
06/12/2016;14,4919
07/12/2016;14,5718
08/12/2016;14,7652
09/12/2016;14,8991
